Title,Price,Image,description,links
اودي A3 موديل ٢٠١٥ صيانات توكيل,"EGP 1,100,000",C:\Users\10\Documents\Python Scripts/allimag/image30.jpg,"حاله ممتازه صيانات توكيل لا تحتاج لاي مصروف رشه رفرف واكصدام
",https://www.dubizzle.com.eg//en/ad/%D8%A7%D9%88%D8%AF%D9%8A-a3-%D9%85%D9%88%D8%AF%D9%8A%D9%84-%D9%A2%D9%A0%D9%A1%D9%A5-%D8%B5%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%AA%D9%88%D9%83%D9%8A%D9%84-ID201053532.html
المتحده جروب للسيارات: هافال جوليان 2024 جميع الالوان بصوره البطاقه,"EGP 360,000",C:\Users\10\Documents\Python Scripts/allimag/image31.jpg,"⁂ أفضل عروض التقسيط من المتحدة جروب [ المنصورة ] :
 # مقدم السيارة : 360,000 جنيه    
• جميع الفئات 
• جميع الألوان 
• كاش بأميز الأسعار 
• أسرع موافقة بنكية خلال (24) ساعة بصورة البطاقة الشخصية
• تقسيط بنكي بأفضل التسهيلات وأسرع التسليمات
• أطول فترة سداد تصل حتى 8 سنوات
• أقل فائدة في مصر 11 %
• عروض بدون استعلام
• عروض بدون حظر بيع
• عروض بدون تأمين
• عروض بأقل مقدم في مصر
• عروض بدون مصاريف إدارية
• عروض خاصة للأطباء و أساتذة الجامعات
•  عروض خاصة لضباط الجيش والشرطة 
• برامج تقسيط لأصحاب السجلات التجارية 
• برامج تقسيط لموظفي القطاع العام والخاص 
• برامج تقسيط لربات المنازل
• برامج تقسيط خاصة لو كنت بدون عمل 
••••••••••••••••••••••••••••••••••••••••••••••••• 
 للإستفسار | يرجى التواصل مباشرة على الأرقام التالية :
01029111143  - 01014941111 
01021111329  - 01013581111  

0502302119  
•••••••••••••••••••••••••••••••••••••••••••••••••
يسعدنا زيارتكم لمقر الشركة على العنوان التالي :
المنصورة : 
توريل - ش سعد زغلول - بجوار ڤيلا المحافظ - مقابل الأمن الوطني
•••••••••••••••••••••••••••••••••••••••••••••••••
يمكنكم متابعتنا على الفيسبوك : المتحدة جروب للسيارات
",https://www.dubizzle.com.eg//en/ad/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D9%87-%D8%AC%D8%B1%D9%88%D8%A8-%D9%84%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D9%87%D8%A7%D9%81%D8%A7%D9%84-%D8%AC%D9%88%D9%84%D9%8A%D8%A7%D9%86-2024-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A7%D9%84%D9%88%D8%A7%D9%86-%D8%A8%D8%B5%D9%88%D8%B1%D9%87-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D9%87-ID201053415.html
بيجو ٣٠٧  sw,"EGP 420,000",C:\Users\10\Documents\Python Scripts/allimag/image32.jpg,"بيجو 307. Sw. أوتوماتيك اعلى فئه سقف بانورما. 
مثبت ومحدد سرعه كمبيوتر رحلات وأعطال جميع وسائل الامان والسلامه جميع الصيانات فى مواعيدها. وتم عمل جميع الصيانه الدوريه اللازمه. موديل 2007.  لا تحتاج لاى صيانه نهائياً 
بدهان المصنع بالكامل من الدآخل مدهونه من الخارج حزام للشكل الخارجي الجمالي رخصه سنه المعاينه اكتوبر السعر 420 الف بضمان الشركه العربيه والاستلام فورى
",https://www.dubizzle.com.eg//en/ad/%D8%A8%D9%8A%D8%AC%D9%88-%D9%A3%D9%A0%D9%A7-sw-ID201000213.html
C200 AMG - new condition 2022 model,"EGP 3,450,000",C:\Users\10\Documents\Python Scripts/allimag/image33.jpg,"Mercedes Benz C200 AMG
Model: 2022
29000 Km
All fabric
. . . . . . 
مرسيدس C200 AMGموديل 2022 ماشية 29 الف كيلو وارد المانيا لم ترخص في مصر فابريكا بالكامل بمواصفات :كاميرا خلفية، مساعد النقطة العمياء، 
 مساعد ركن نشط بما في ذلك باركترونيك، مساعد نشط للحفاظ على المسار، مساعد فرامل نشط، خيار التحميل السهل، وسادة هوائية مركزية، مستشعر مطر، نظام مكالمات ،  نظام مكالمات الطوارئ من مرسيدس بنز، ملاحة على القرص الصلب، وحدة (LTE) مرسيدس مي،فتحة سقف زجاجي ،أوتوماتيكي، مثبت السرعة، قمرة القيادة ذات شاشة عريضة، مساعد إشارات المرور، نظام الوسائط المتعددة MBUX، 537 راديو رقمي DAB، 580 تكييف الهواء، تبديل تلقائي للشعاع العالي، هيكل التحكم في الرشاقة، موديل عام 2022، شاشة عرض الوسائط، تدفئة المقعد الأمامي
حزمة الإضاءة الداخلية، إضاءة محيطة متميزة، وظيفة تشغيل KEYLESS-GO، تكامل الهاتف الذكي 14U، حزمة تخزين 30P، 33U Remote Services Plus، 355A وظائف متقدمة، شبكة ماسية، مصابيح أمامية LED عالية الأداء، مقاعد رياضية، B01 EQ مولد بداية التعزيز، مفتاح B59 AGILITY SELECT، B63 Sportier
صوت المحرك، حزمة المساعدة D1F، حزمة الإضاءة D1L، حزمة ركن السيارة D1P، حزمة المعلومات والترفيه المتقدمة D2l، حزمة الراحة المتقدمة D2K، حزمة الأعمال DB2 plus، عناصر تقليم H50 بمظهر ماسي، رمادي فضي، عجلة قيادة رياضية متعددة الوظائف L5C مكسوة بجلد نابا، P29 AMG التصميم الداخلي، خط P31 AMG، حزمة ركن السيارة P44C، حزمة المرآة P49، حزمة راحة المقعد P65، حزمة PBG Comfort Connectivity، RSJ 18 بوصة AMG LMR بتصميم 5 أذرع، أسفل الظهر U22 بأربعة اتجاهات، لوحة عدادات U34 مصنوعة يدويًا من ARTICO جلد
ملحوظة : السياره فتحة سقف وليست بانوراما بدون كراسي ميموري وبدون شنطة كهرباء 
للتواصل 01111531532
01005150630
",https://www.dubizzle.com.eg//en/ad/c200-amg-new-condition-2022-model-ID200980214.html
هيونداي توسان زيررررو,"EGP 1,990,000",C:\Users\10\Documents\Python Scripts/allimag/image34.jpg,"هيونداي توسان زيررررو حرفيا 2022 ماشيه 8000كيلو ستائر خلفيه كراسي كهرباء اللون الأحمر الشيك بأكياس المصنع رخصة سنتين بسم الله ماشاء الله
",https://www.dubizzle.com.eg//en/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%AA%D9%88%D8%B3%D8%A7%D9%86-%D8%B2%D9%8A%D8%B1%D8%B1%D8%B1%D8%B1%D9%88-ID200980023.html
#هونداي_فيرنا #سيارة_مستعملة #سيارة_ للبيع #مصر,"EGP 395,000",C:\Users\10\Documents\Python Scripts/allimag/image35.jpg,"سيارة هونداي فيرنا 2014 بحالة ممتازة
مُرخصة لسنتين قادمتين
رقم التواصل 01080189753
",https://www.dubizzle.com.eg//en/ad/%D9%87%D9%88%D9%86%D8%AF%D8%A7%D9%8A_%D9%81%D9%8A%D8%B1%D9%86%D8%A7-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9_%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84%D8%A9-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9_-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B5%D8%B1-ID200968920.html
فولكس ارخص سعر في مصرVolkswagen ID 4 CROZZ PURE PLUS 2023,"EGP 1,750,000",C:\Users\10\Documents\Python Scripts/allimag/image36.jpg,"ID. 4 CROZZ PURE PLUS
2023
ELECTRIC
SUV
CLTC 600KM
Battery Energy (kWh) 84.8
USB Connectivity
Auto Hold
Electric Power Seat Driver
ISOFIX
Folding Mirror
Full Airbags
Cruise Control
Audio Control
Manual Child Lock
Seat Belt Warning
Bluetooth Connectivity
Rear Camera
Panoramic
Daytime Running Lights
Alloy Wheel
Tire Pressure
LED
Front Parking Sensor
Rear Parking Sensor

check our showroom to find your dream car. 

:  01285438255 :01221057752 : for more information : 01280014428

City Motors Car Dealership

اسعار خاصه لعملاء الكاش 

نتشرف بزيراتكم فى معرض City Motors
   

العنوان      : محور حسب الله الكفراوي المعادي امام نادي معادي جاردينز 

مواعيد العمل : من الساعه 12 مساء حتي 12 صباحا جميع ايام الاسبوع
",https://www.dubizzle.com.eg//en/ad/%D9%81%D9%88%D9%84%D9%83%D8%B3-%D8%A7%D8%B1%D8%AE%D8%B5-%D8%B3%D8%B9%D8%B1-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1volkswagen-id-4-crozz-pure-plus-2023-ID200833807.html
Volkswagen T-Roc R Line 2024,"EGP 1,850,000",C:\Users\10\Documents\Python Scripts/allimag/image37.jpg,"فولكس فاجن T-Roc R Lineموديل 2024 زيرو- 4 ايرباج-چنوط ١٧ سبور-تكييف ديچيتال 3 زون امامي-تكييف خلفي-بصمة-باور-سنتر لوك-ريموت كنترول-4 زجاج كهرباء-وحدة لرفع الزجاج-الطارة من الجلد-تحكم طارة- بانوراما-مرايات ظبط كهرباء-مرايات ضم-اشارات في المرايات-سخانات في المرايات-مرآة تعتيم داخلية-مصابيح LED امامية وخلفية-اضاءات نهرية LED-فوج لايت امامي وخلفي-شاشة تاتش-عرض الهاتف على الشاشة-كاميرا خلفية-تشغيل وايقاف السيارة بدون مفتاح-ناقل حركة 8 سرعات-ABS-EBD-ESP-ASR-ESC-زجاج فاميه-حساس امامي وخلفي-حساس اضاءة-حساس امطار-8سماعات-نظام لاعادة تدوير الهواء-نظام لمراقبة ضغط الاطارات-نظام للمساعدة في المرتفعات والمنحضارات-تثبيت مقاعد لاطفال-شاشة عداد ديچيتال
********
يوجد لدينا جميع أنظمة التقسيط بمقدم يبدأ من ١٠٪؜وأطول فترة سداد تصل إلى ٧سنوات
*******
للأستفسار إتصل على الأرقام التالية:
 01023652770
01556884205
01097949330
 02/22180039
*****
-مستنينكم في معرضنا: 
٨٦ ش فريد سميكة، قسم النزهة، محافظة القاهرة
*******
مواعيد العمل الرسمية طوال أيام الإسبوع من الساعة ١٢ ظهراً إلى ١٢ مساءً. . ⏱
",https://www.dubizzle.com.eg//en/ad/volkswagen-t-roc-r-line-2024-ID200775443.html
جيتور X70 كسر زيرو Luxury تامين شامل,"EGP 1,150,000",C:\Users\10\Documents\Python Scripts/allimag/image38.jpg,"سيارة رائعة فابريكة بحالة ممتازة - انا طبيب بشري و البيع بغرض السفر - بها خدوش بسيطة عند الشنطة و المراية اليمين - و السيارة داخل التامين الشامل تقدر تعمل اللي تحبه براحتك علي حساب التأمين
",https://www.dubizzle.com.eg//en/ad/%D8%AC%D9%8A%D8%AA%D9%88%D8%B1-x70-%D9%83%D8%B3%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-luxury-%D8%AA%D8%A7%D9%85%D9%8A%D9%86-%D8%B4%D8%A7%D9%85%D9%84-ID200681168.html
Mercedes Benz GLK 350 AMG 2013,"EGP 1,850,000",C:\Users\10\Documents\Python Scripts/allimag/image39.jpg,"مرسيدس GLK 350 AMG موديل 2013 صيانات توكيل عداد 200 الف كم- 6 سلندر-موتور 3500 سي سي تيربو-چنوط ١٩ سبور-٨ ايرباج-تكييف تاتش-شيفتات طارة-طارة من الجلد-طارة مالتي- كراسي جلد كهرباء ميمورى -مثبت سرعة-زجاج كهرباء-زجاج فاميه-مرايات كهرباء-اشارات في المرايات-مرايات تعتيم-شاشة وماوس للتحكم-فتحة سقف بانوراما - سنسور بارك 360-كاميرا خلفيه 
 ليدات امامية وخلفية- فوانيس زينون - بخاخات فوانيس - مرقبة ضغط الاطارات- بلوتوث-AUX-حامل اكواب
********
يوجد لدينا جميع أنظمة التقسيط بمقدم يبدأ من ٣٠٪؜وأطول فترة سداد تصل إلى ٧سنوات
*******
للأستفسار إتصل على الأرقام التالية:
 01023652770
01556884205
01097949330
 02/22180039
*****
-مستنينكم في معرضنا: 
٨٦ ش فريد سميكة، قسم النزهة، محافظة القاهرة
*******
مواعيد العمل الرسمية طوال أيام الإسبوع من الساعة ١٢ ظهراً إلى ١٢ مساءً. . ⏱
",https://www.dubizzle.com.eg//en/ad/mercedes-benz-glk-350-amg-2013-ID200599526.html
Volvo xc90 T6 inscription plus 2020  ڤولڤو موديل ٢٠٢٠ حالة ممتازة,"EGP 3,850,000",C:\Users\10\Documents\Python Scripts/allimag/image40.jpg,"بحالة ممتازة اعلى فئة ڤولڤو x90  موديل ٢٠٢٠ 
٦٥ الف كم فابريكة بالكامل
جميع الكماليات
",https://www.dubizzle.com.eg//en/ad/volvo-xc90-t6-inscription-plus-2020-%DA%A4%D9%88%D9%84%DA%A4%D9%88-%D9%85%D9%88%D8%AF%D9%8A%D9%84-%D9%A2%D9%A0%D9%A2%D9%A0-%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID200575956.html
مرسيدس ٢٣٠,"EGP 240,000",C:\Users\10\Documents\Python Scripts/allimag/image41.jpg,"مرسيدس 230. أوتوماتيك بدهان المصنع بالكامل من الداخل. فبريكا بالكامل مدهونه من الخارج بعض الاجزاء فقط للشكل الخارجي الجمالي . تكيف رائع صالون وكراسي جلد طبيعى زيرو  
اول مالك استخدام راقى جدا. تم عمل جميع الصيانات ولا تحتاج لاى صيانه موديل 80 ماشيه 350 آلف المعاينه اكتوبر والسعر ٢٤٠ الف
",https://www.dubizzle.com.eg//en/ad/%D9%85%D8%B1%D8%B3%D9%8A%D8%AF%D8%B3-%D9%A2%D9%A3%D9%A0-ID200560693.html
ستروين سى الزيه,"EGP 620,000",C:\Users\10\Documents\Python Scripts/allimag/image42.jpg,"فرصة لا تعوض سي الزيه موديل ٢٢ ماشيه ٢٠  الف كيلو. كراسي جلد طبيعي  شاشة أندرويد ١١ بوصة آخر اصدار تدعم جميع الاوبشن رخصة سنة السعر    ٦٢٠الف المعاينة اكتوبر 
وفر فلوس الزيرو .
",https://www.dubizzle.com.eg//en/ad/%D8%B3%D8%AA%D8%B1%D9%88%D9%8A%D9%86-%D8%B3%D9%89-%D8%A7%D9%84%D8%B2%D9%8A%D9%87-ID200550039.html
Mercedes cla 200 night package fully loaded,"EGP 3,100,000",C:\Users\10\Documents\Python Scripts/allimag/image43.jpg,"Mercedes cla 200 fully loaded 
العربيه كامله اعلى فئه
السعر نهائى لسرعه البيع و الاتصال للجادين فقط و المعاينه بالرحاب
",https://www.dubizzle.com.eg//en/ad/mercedes-cla-200-night-package-fully-loaded-ID200493917.html
Mercedes Benz GLC300 2021 AMG,"EGP 3,450,000",C:\Users\10\Documents\Python Scripts/allimag/image44.jpg,"مرسيدس Glc 300  موديل 2021 Amg عداد 70 الف كم صيانات توكيل -ليدات اماميه - وليدات وخلفيه - كاميرا 360  - كراسي ميموري - حساس فتح الشنطه بالرجل - زينون ‏- شبكة AMG‏- جنوط 20 AMG 2inch -حساسات  - عتب سبور - فتحة سقف - فاميه ‏- 2شكمان خلفي سبور amg ‏- كراسي جلد‏ -كراسي كهرباء‏ - سخانات كراسي‏- ماوس تاتش‏ -  -شنطه كهرباء‏ - تكييف خلفي‏ - وحدة رفع وفتح ‏- gbs‏ -usb - aux - cd ‏- وضعيات قياده. مختلفه‏ abs - ebd -  airbags -
**********
يوجد لدينا جميع أنظمة التقسيط بمقدم يبدأ من ٣٠٪؜وأطول فترة سداد تصل إلى ٧سنوات
*********
للأستفسار إتصل على الأرقام التالية:
01023652770
01556884205
01097949330
 02/22180039
********
-مستنينكم في معرضنا: 
٨٦ ش فريد سميكة، قسم النزهة، محافظة القاهرة
*********
مواعيد العمل الرسمية طوال أيام الإسبوع من الساعة ١٢ ظهراً إلى ١١ مساءً. . ⏱
",https://www.dubizzle.com.eg//en/ad/mercedes-benz-glc300-2021-amg-ID200396072.html
2024 Bmw X5 M60i,"EGP 8,400,000",C:\Users\10\Documents\Python Scripts/allimag/image45.jpg,"2024 Bmw X5 M60i
1,500 km
Carbon Black x Brown interior
1 year license
Full body protection from Protect Me
",https://www.dubizzle.com.eg//en/ad/2024-bmw-x5-m60i-ID200277324.html
RANGE ROVER EVOQUE SE P300e,"EGP 4,500,000",C:\Users\10\Documents\Python Scripts/allimag/image46.jpg,"RANGE ROVER EVOQUE  SE P300e 2023
R Dynamic 
Engine capacity: 1500 CC 
8-speed automatic transmission
Horse power: 300
Color: Dark Gray
Rims: 20” INCH
Interior trim: Black Lather 
180° camera
360° Sensor
Panorama sliding roof
Ambient Light 
Matrix LED 
Memory Package seats
Attention assist
Meridian Sound System
Brake assist
Blind spot assist
Distance assist
Electric trunk
Keyless go
Traffic sign assist
DSR
ESP

https://www. instagram. com/oneofone. egypt/
https://maps. app. goo. gl/G8JCeAegUXdSSj3c8
#one_of_one
01115111460
01066111191
",https://www.dubizzle.com.eg//en/ad/range-rover-evoque-se-p300e-ID199346332.html
"كشاف f30 أمامي يمين 
اصلي يتاع العربية","EGP 3,000",C:\Users\10\Documents\Python Scripts/allimag/image47.jpg,"كشاف f30 أمامي يمين 
اصلي يتاع العربية
",https://www.dubizzle.com.eg//en/ad/%D9%83%D8%B4%D8%A7%D9%81-f30-%D8%A3%D9%85%D8%A7%D9%85%D9%8A-%D9%8A%D9%85%D9%8A%D9%86-%D8%A7%D8%B5%D9%84%D9%8A-%D9%8A%D8%AA%D8%A7%D8%B9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-ID201096856.html
عربيه تفلون كوري التفصيل كلمني 01208227378 المعينه الوراق رخيصة سنتين,"EGP 9,000",C:\Users\10\Documents\Python Scripts/allimag/image48.jpg,"عربيه تفلون كوري بحاله جيده مش محتاجه حاجه
",https://www.dubizzle.com.eg//en/ad/%D8%B9%D8%B1%D8%A8%D9%8A%D9%87-%D8%AA%D9%81%D9%84%D9%88%D9%86-%D9%83%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%AA%D9%81%D8%B5%D9%8A%D9%84-%D9%83%D9%84%D9%85%D9%86%D9%8A-01208227378-%D8%A7%D9%84%D9%85%D8%B9%D9%8A%D9%86%D9%87-%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D9%82-%D8%B1%D8%AE%D9%8A%D8%B5%D8%A9-%D8%B3%D9%86%D8%AA%D9%8A%D9%86-ID201096834.html
maserati ghibli,"EGP 5,500,000",C:\Users\10\Documents\Python Scripts/allimag/image49.jpg,"2018 maserati ghibli 
3000cc 
v6 
twin turbo 
350 hp
37,000 km
",https://www.dubizzle.com.eg//en/ad/maserati-ghibli-ID201096790.html
